Pred Tree: (airplane at)	Gold Tree: (airplane at)
Pred Tree: (((an ornate) clock) ((((on a) building) with) ((tree branches) .)))	Gold Tree: ((an (ornate clock)) ((on ((a building) (with (tree branches)))) .))
Pred Tree: ((a computer) (((((((sits on) a) desk) by) a) printer) .))	Gold Tree: ((a computer) ((sits ((on (a desk)) (by (a printer)))) .))
Pred Tree: (((a black) laptop) (((at a) desk) (((with a) printer) .)))	Gold Tree: ((a (black laptop)) ((at (a desk)) ((with (a printer)) .)))
Pred Tree: ((((a computer) mouse) ((((sitting next) to) a) laptop)) (computer .))	Gold Tree: ((a (computer mouse)) ((sitting (next (to (a (laptop computer))))) .))
Pred Tree: ((some people) (((((standing on) a) tennis) court) ((holding tennis) racketts)))	Gold Tree: ((some people) ((standing (on (a (tennis court)))) (holding (tennis racketts))))
Pred Tree: (((a building) with) (((a large) clock) (((on the) outside) .)))	Gold Tree: ((a building) ((with ((a (large clock)) (on (the outside)))) .))
Pred Tree: ((a truck) (((((((drives through) an) intersection) near) power) line) .))	Gold Tree: ((a truck) ((drives (through ((an intersection) (near (power line))))) .))
Pred Tree: ((there is) (((a stone) oven) ((pizza near) ((the fire) place))))	Gold Tree: (there (is ((a (stone (oven pizza))) (near (the (fire place))))))
Pred Tree: (((a (garbage truck)) ((making a) turn)) (((down the) street) .))	Gold Tree: ((a (garbage truck)) ((making ((a turn) (down (the street)))) .))
Pred Tree: ((a (baseball player)) (((holding a) bat) (((near home) plate) .)))	Gold Tree: ((a (baseball player)) ((holding ((a bat) (near (home plate)))) .))
Pred Tree: ((a player) (((swings his) bat) ((((during a) baseball) game) .)))	Gold Tree: ((a player) ((swings ((his bat) (during (a (baseball game))))) .))
Pred Tree: (((a laptop) computer) ((is displaying) (((a screen) (with words)) .)))	Gold Tree: ((a (laptop computer)) ((is (displaying ((a screen) (with words)))) .))
Pred Tree: (((two children) (((standing at) the) sink)) (((brushing their) teeth) .))	Gold Tree: ((two children) ((standing ((at (the sink)) (brushing (their teeth)))) .))
Pred Tree: (((a man) (with eyeglasses)) (seated ((((and a) car) behind) him)))	Gold Tree: (((a man) (with eyeglasses)) (seated (and ((a car) (behind him)))))
Pred Tree: (((((a crowd) of) people) (((walking in) an) outdoor)) (fair .))	Gold Tree: (((a crowd) (of people)) ((walking (in (an (outdoor fair)))) .))
Pred Tree: ((((a man) ((in a) robe)) ((eating a) chocolate)) (donut .))	Gold Tree: (((a man) (in (a robe))) ((eating (a (chocolate donut))) .))
Pred Tree: ((((teddy bears) and) dolls) (((((laying down) on) a) bench) .))	Gold Tree: (((teddy bears) (and dolls)) ((laying (down (on (a bench)))) .))
Pred Tree: ((smiling man) (((((((wearing black) shirt) and) pale) green) tie) .))	Gold Tree: ((smiling man) ((wearing ((black shirt) (and ((pale green) tie)))) .))
Pred Tree: (((((a group) of) cute) ((stuffed animals) (in a))) (bed .))	Gold Tree: ((a group) ((of (cute (stuffed animals))) ((in (a bed)) .)))
Pred Tree: ((a woman) (((eating food) and) ((((posing for) a) picture) .)))	Gold Tree: ((a woman) (((eating food) (and (posing (for (a picture))))) .))
Pred Tree: ((((a girl) (((sitting on) a) stone)) wall) ((and eating) .))	Gold Tree: ((a girl) (((sitting (on (a (stone wall)))) (and eating)) .))
Pred Tree: (((a boy) ((rides a) skateboard)) ((((down an) empty) street) .))	Gold Tree: ((a boy) ((rides ((a skateboard) (down (an (empty street))))) .))
Pred Tree: (((a boy) (((riding on) a) skateboard)) (((in the) street) .))	Gold Tree: ((a boy) ((riding ((on (a skateboard)) (in (the street)))) .))
Pred Tree: (((an alley) ((way of) ((((a church) and) buildings) with))) balconies)	Gold Tree: ((an (alley way)) (of ((a church) (and (buildings (with balconies))))))
Pred Tree: (((((a hairy) man) ((eating a) chocolate)) doughnut) ((in his) house))	Gold Tree: ((a (hairy man)) (eating ((a (chocolate doughnut)) (in (his house)))))
Pred Tree: (((a man) cutting) ((((a slice) of) cake) ((with the) knife)))	Gold Tree: ((a man) (cutting (((a slice) (of cake)) (with (the knife)))))
Pred Tree: ((((a skateboarder) is) ((doing a) trick)) (((in the) dark) .))	Gold Tree: ((a skateboarder) ((is (doing ((a trick) (in (the dark))))) .))
Pred Tree: ((((the hotdog) (bun is)) (filled with)) (((carrots and) greens) .))	Gold Tree: ((the (hotdog bun)) ((is (filled (with (carrots (and greens))))) .))
Pred Tree: ((((a little) boy) ((on a) skateboard)) (((on the) road) .))	Gold Tree: ((a (little boy)) ((on (a skateboard)) ((on (the road)) .)))
Pred Tree: ((flowers ((((are placed) in) a) vase)) (((with large) leaves) .))	Gold Tree: (flowers ((are (placed (in ((a vase) (with (large leaves)))))) .))
Pred Tree: ((((((a bouquet) of) fresh) flowers) in) (((a cream) colored) vase))	Gold Tree: ((a bouquet) ((of (fresh flowers)) (in (a ((cream colored) vase)))))
Pred Tree: ((people walking) (((((in a) market) with) apples) ((in crates) .)))	Gold Tree: (people ((walking ((in (a market)) (with (apples (in crates))))) .))
Pred Tree: (((a laptop) (((sitting on) a) desk)) (((with other) items) .))	Gold Tree: ((a laptop) ((sitting ((on (a desk)) (with (other items)))) .))
Pred Tree: ((((a white) table) with) (((a laptop) computer) ((on it) .)))	Gold Tree: ((a (white table)) ((with ((a (laptop computer)) (on it))) .))
Pred Tree: ((((young men) are) ((((loading surfboards) into) an) old)) (car .))	Gold Tree: ((young men) ((are (loading (surfboards (into (an (old car)))))) .))
Pred Tree: ((a person) ((((riding a) skate) board) (((at a) skate) park)))	Gold Tree: ((a person) (riding ((a (skate board)) (at (a (skate park))))))
Pred Tree: ((this (skate boarder)) (((is leaning) back) (((on his) board) .)))	Gold Tree: ((this (skate boarder)) ((is (leaning (back (on (his board))))) .))
Pred Tree: (((((an old) open) trunk) (((sits in) a) dilapidated)) (house .))	Gold Tree: ((an (old (open trunk))) ((sits (in (a (dilapidated house)))) .))
Pred Tree: (((the donuts) are) (((being freshly) made) (((in the) shop) .)))	Gold Tree: ((the donuts) ((are (being (freshly (made (in (the shop)))))) .))
Pred Tree: ((man ((in red) shirt)) ((eating something) (((that is) green) .)))	Gold Tree: ((man (in (red shirt))) ((eating (something (that (is green)))) .))
Pred Tree: ((several cows) (((((((in a) grassy) field) behind) a) fence) .))	Gold Tree: ((several cows) ((in ((a (grassy field)) (behind (a fence)))) .))
Pred Tree: (((three cows) standing) (((in a) field) (((behind a) fence) .)))	Gold Tree: ((three cows) ((standing ((in (a field)) (behind (a fence)))) .))
Pred Tree: (((a (circuit board)) (((((sitting on) top) of) a) map)) .)	Gold Tree: ((a (circuit board)) ((sitting (on (top (of (a map))))) .))
Pred Tree: (((three cows) (((stand behind) a) fence)) (((in a) field) .))	Gold Tree: ((three cows) ((stand ((behind (a fence)) (in (a field)))) .))
Pred Tree: (((a close) ((up of) (a tooth))) ((brush with) (a person)))	Gold Tree: ((a (close up)) ((of (a (tooth brush))) (with (a person))))
Pred Tree: ((a ((view of) ((a double) (tennis match)))) ((of men) .))	Gold Tree: ((a view) ((of ((a (double (tennis match))) (of men))) .))
Pred Tree: ((a woman) (((in a) skirt) ((((is holding) a) tennis) racket)))	Gold Tree: (((a woman) (in (a skirt))) (is (holding (a (tennis racket)))))
Pred Tree: ((a woman) (((is standing) while) ((((holding a) tennis) racket) .)))	Gold Tree: ((a woman) ((is (standing (while (holding (a (tennis racket)))))) .))
Pred Tree: (((a (computer monitor)) with) ((a (teddy bear)) ((next to) it)))	Gold Tree: ((a (computer monitor)) (with ((a (teddy bear)) (next (to it)))))
Pred Tree: (((the (teddy bear)) (is (((facing toward) the) computer))) (keyboard .))	Gold Tree: ((the (teddy bear)) ((is (facing (toward (the (computer keyboard))))) .))
Pred Tree: (((a (stuffed animal)) (sits (((in front) of) a))) (computer .))	Gold Tree: ((a (stuffed animal)) ((sits (in (front (of (a computer))))) .))
Pred Tree: (((a woman) ((that is) (((sitting down) near) a))) (cat .))	Gold Tree: ((a woman) ((that (is (sitting (down (near (a cat)))))) .))
Pred Tree: (((a makeshift) bedroom) ((((is decorated) in) plastic) ((and cardboard) .)))	Gold Tree: ((a (makeshift bedroom)) ((is (decorated (in (plastic (and cardboard))))) .))
Pred Tree: (((a bed) in) (((a ten) ((with a) colorful)) (ceiling .)))	Gold Tree: (((a bed) (in (a ten))) ((with (a (colorful ceiling))) .))
Pred Tree: (((a blurry) ((picture of) (two people))) (((watching a) laptop) .))	Gold Tree: ((a (blurry picture)) ((of ((two people) (watching (a laptop)))) .))
Pred Tree: (man ((((((lying down) on) bed) with) shirt) ((open in) bedroom)))	Gold Tree: (man (lying (down ((on bed) ((with (shirt open)) (in bedroom))))))
Pred Tree: ((a man) ((((with his) shirt) open) (((lying in) bed) .)))	Gold Tree: ((a man) (with ((((his shirt) open) (lying (in bed))) .)))
Pred Tree: ((((black and) white) ((photograph of) (two men))) ((on motorcycles) .))	Gold Tree: (((black (and white)) photograph) ((of ((two men) (on motorcycles))) .))
Pred Tree: ((a (teddy bear)) ((cake with) ((((a candle) and) sparklers) .)))	Gold Tree: ((a (teddy (bear cake))) ((with (a (candle (and sparklers)))) .))
Pred Tree: ((a (teddy bear)) (((shaped cake) resting) (((on a) cutting) board)))	Gold Tree: ((a ((teddy (bear shaped)) cake)) (resting (on (a (cutting board)))))
Pred Tree: ((((((a very) unique) looking) flower) vase) (((with fake) flowers) .))	Gold Tree: ((a (((very unique) looking) (flower vase))) ((with (fake flowers)) .))
Pred Tree: (((a tray) with) (eighteen (((sprinkled vanilla) and) ((chocolate doughnuts) .))))	Gold Tree: ((a tray) ((with (eighteen (sprinkled (vanilla (and (chocolate doughnuts)))))) .))
Pred Tree: ((((((a painting) of) fruit) and) (a candle)) ((with a) vase))	Gold Tree: (((a painting) (of fruit)) (and ((a candle) (with (a vase)))))
Pred Tree: (((a sandwich) with) (((lettuce and) tomatoes) (((on a) table) .)))	Gold Tree: ((a sandwich) ((with (lettuce (and tomatoes))) ((on (a table)) .)))
Pred Tree: ((((a group) of) men) (((((standing around) a) sidewalk) together) .))	Gold Tree: (((a group) (of men)) ((standing ((around (a sidewalk)) together)) .))
Pred Tree: (((all of) ((these men) are)) ((((using their) cell) phones) .))	Gold Tree: ((all (of (these men))) ((are (using (their (cell phones)))) .))
Pred Tree: ((((a young) baby) (((((sits on) top) of) a) briefcase)) .)	Gold Tree: ((a (young baby)) ((sits (on (top (of (a briefcase))))) .))
Pred Tree: ((((a small) child) ((((sitting on) top) of) a)) (briefcase .))	Gold Tree: ((a (small child)) ((sitting (on (top (of (a briefcase))))) .))
Pred Tree: ((((a toddler) boy) ((((is sitting) on) a) brief)) (case .))	Gold Tree: ((a (toddler boy)) ((is (sitting (on (a (brief case))))) .))
Pred Tree: (((a kitchen) with) ((((a small) refrigerator) and) ((a microwave) oven)))	Gold Tree: ((a kitchen) (with ((a (small refrigerator)) (and (a (microwave oven))))))
Pred Tree: (((a man) ((carrying a) plate)) ((((with food) on) it) .))	Gold Tree: ((a man) ((carrying ((a plate) (with (food (on it))))) .))
Pred Tree: (((a microwave) (((((sitting on) top) of) a) mini)) (fridge .))	Gold Tree: ((a microwave) ((sitting (on (top (of (a (mini fridge)))))) .))
Pred Tree: (((a person) ((on a) skateboard)) ((((on a) city) street) .))	Gold Tree: ((a person) (((on (a skateboard)) (on (a (city street)))) .))
Pred Tree: (hanging (((frying pans) in) (((((small ,) tidy) commercial) kitchen) .)))	Gold Tree: (hanging ((frying pans) ((in (small (, (tidy (commercial kitchen))))) .)))
Pred Tree: ((((a large) blue) bird) (balloon ((((flying in) the) sky) .)))	Gold Tree: ((a (large (blue (bird balloon)))) ((flying (in (the sky))) .))
Pred Tree: ((((a yellow) kitchen) contains) ((((a small) refrigerator) and) (microwave .)))	Gold Tree: ((a (yellow kitchen)) ((contains (a (small (refrigerator (and microwave))))) .))
Pred Tree: ((((many ingredients) ((((are placed) on) a) table)) for) (cooking .))	Gold Tree: ((many ingredients) ((are (placed ((on (a table)) (for cooking)))) .))
Pred Tree: ((((a couple) of) plates) ((((that have) some) food) (on them)))	Gold Tree: ((a couple) ((of plates) (that (have ((some food) (on them))))))
Pred Tree: (((a microwave) (((((sits on) top) of) a) mini)) (fridge .))	Gold Tree: ((a microwave) ((sits (on (top (of (a (mini fridge)))))) .))
Pred Tree: (((((a brown) brick) wall) with) ((windows and) ((a clock) .)))	Gold Tree: ((a (brown (brick wall))) ((with (windows (and (a clock)))) .))
Pred Tree: ((((a man) (is standing)) (((partially inside) an) open)) (refrigerator .))	Gold Tree: ((a man) ((is (standing (partially (inside (an (open refrigerator)))))) .))
Pred Tree: ((((the man) is) standing) (((((half way) in) the) refrigerator) .))	Gold Tree: ((the man) ((is (standing ((half way) (in (the refrigerator))))) .))
Pred Tree: (((the <unk>) video) ((is shown) ((((on the) mobile) phone) .)))	Gold Tree: ((the (<unk> video)) ((is (shown (on (the (mobile phone))))) .))
Pred Tree: ((((a decorative) plate) with) ((((a piece) of) cake) (on it)))	Gold Tree: ((a (decorative plate)) (with ((a piece) ((of cake) (on it)))))
Pred Tree: (((an oven) with) ((((a pan) of) cookies) ((baking inside) it)))	Gold Tree: ((an oven) (with (((a pan) (of cookies)) (baking (inside it)))))
Pred Tree: ((((a woman) (((sits on) a) brief)) case) ((in the) woods))	Gold Tree: ((a woman) (sits ((on (a (brief case))) (in (the woods)))))
Pred Tree: ((bathroom with) ((((white tiled) walls) and) (((white oval) mirror) .)))	Gold Tree: (bathroom ((with ((white (tiled walls)) (and (white (oval mirror))))) .))
Pred Tree: (((((a orange) tabby) cat) ((((laying down) on) a) black)) car)	Gold Tree: ((a (orange (tabby cat))) (laying (down (on (a (black car))))))
Pred Tree: (((a cat) (((((sits on) top) of) a) black)) (car .))	Gold Tree: ((a cat) ((sits (on (top (of (a (black car)))))) .))
Pred Tree: (((a plane) (((flying through) a) sky)) (((above a) lake) .))	Gold Tree: ((a plane) ((flying (through ((a sky) (above (a lake))))) .))
Pred Tree: (((a man) ((viewing a) video)) ((((on his) smart) phone) .))	Gold Tree: ((a man) ((viewing ((a video) (on (his (smart phone))))) .))
Pred Tree: (((a bird) (sitting ((((on the) back) of) a))) (giraffe .))	Gold Tree: ((a bird) ((sitting (on ((the back) (of (a giraffe))))) .))
Pred Tree: ((((a little) bird) (sitting ((((on the) back) of) a))) giraffe)	Gold Tree: ((a (little bird)) (sitting (on ((the back) (of (a giraffe))))))
Pred Tree: ((((a women) ((is waiting) while)) (((sitting on) a) large)) trunk)	Gold Tree: ((a women) (is (waiting (while (sitting (on (a (large trunk))))))))
Pred Tree: ((((a man) walking) ((across the) street)) (((at an) intersection) .))	Gold Tree: ((a man) ((walking ((across (the street)) (at (an intersection)))) .))
Pred Tree: (((a man) ((using a) cross)) ((((walk to) cross) a) street))	Gold Tree: ((a man) (using ((a (cross walk)) (to (cross (a street))))))
Pred Tree: ((the ((view of) ((an airport) runway))) (((from a) distance) .))	Gold Tree: ((the view) ((of (an (airport runway))) ((from (a distance)) .)))
Pred Tree: ((a woman) ((((shades her) eyes) while) (((sitting on) a) chest)))	Gold Tree: ((a woman) (shades ((her eyes) (while (sitting (on (a chest)))))))
Pred Tree: ((airport vehicles) ((((((carry items) and) other) equipment) to) (parked planes)))	Gold Tree: ((airport vehicles) (carry ((items (and (other equipment))) (to (parked planes)))))
Pred Tree: (((the cookies) (((are inside) an) oven)) (((in the) kitchen) .))	Gold Tree: ((the cookies) ((are (inside ((an oven) (in (the kitchen))))) .))
Pred Tree: ((people are) (((((transporting something) to) another) area) ((at the) airport)))	Gold Tree: (people (are (transporting (something (to ((another area) (at (the airport))))))))
Pred Tree: (((a man) (((((driving a) car) across) an) airport)) (runway .))	Gold Tree: ((a man) ((driving ((a car) (across (an (airport runway))))) .))
Pred Tree: (((three homes) and) (((a clock) tower) (((in the) background) .)))	Gold Tree: (((three homes) (and (a (clock tower)))) ((in (the background)) .))
Pred Tree: ((police ((on a) motorcycle)) (((((drive down) a) city) street) .))	Gold Tree: ((police (on (a motorcycle))) ((drive (down (a (city street)))) .))
Pred Tree: (((two people) ((ride the) motorcycle)) ((((on the) city) street) .))	Gold Tree: ((two people) ((ride ((the motorcycle) (on (the (city street))))) .))
Pred Tree: ((the (motorcycle rider)) ((((is cruising) the) street) ((at night) .)))	Gold Tree: ((the (motorcycle rider)) ((is (cruising ((the street) (at night)))) .))
Pred Tree: ((an individual) (is ((doing something) ((((that is) uncommonly) entrancing) .))))	Gold Tree: ((an individual) ((is (doing (something (that (is (uncommonly entrancing)))))) .))
Pred Tree: ((man ((on a) scooter)) (((((parked at) a) traffic) stop) .))	Gold Tree: ((man (on (a scooter))) ((parked (at (a (traffic stop)))) .))
Pred Tree: (((a close) ((up of) ((two cell) phones))) ((near one) another))	Gold Tree: ((a (close up)) ((of (two (cell phones))) (near (one another))))
Pred Tree: ((black cat) (((((sitting near) a) printer) with) (N (stuffed animals))))	Gold Tree: ((black cat) (sitting (near ((a printer) (with (N (stuffed animals)))))))
